datetime,symbol,open,high,low,close,volume
2/8/2023 16:50,OANDA:EURGBP,0.88793,0.88814,0.88766,0.88812,462
2/8/2023 16:55,OANDA:EURGBP,0.88812,0.88826,0.88796,0.88815,463
2/8/2023 17:00,OANDA:EURGBP,0.88815,0.8882,0.88791,0.88798,461
2/8/2023 17:05,OANDA:EURGBP,0.88798,0.88819,0.88796,0.88808,496
2/8/2023 17:10,OANDA:EURGBP,0.88808,0.88839,0.88808,0.8883,392
2/8/2023 17:15,OANDA:EURGBP,0.8883,0.88859,0.8883,0.88858,321
2/8/2023 17:20,OANDA:EURGBP,0.88858,0.88864,0.88822,0.88828,375
2/8/2023 17:25,OANDA:EURGBP,0.88828,0.88833,0.88812,0.88812,262
2/8/2023 17:30,OANDA:EURGBP,0.88812,0.88832,0.8881,0.88832,350
2/8/2023 17:35,OANDA:EURGBP,0.88832,0.88833,0.88816,0.88818,385
2/8/2023 17:40,OANDA:EURGBP,0.88818,0.88832,0.88808,0.88831,330
2/8/2023 17:45,OANDA:EURGBP,0.88831,0.88838,0.88815,0.88834,355
2/8/2023 17:50,OANDA:EURGBP,0.88834,0.88838,0.88816,0.88818,392
2/8/2023 17:55,OANDA:EURGBP,0.88818,0.88832,0.8881,0.88813,491
2/8/2023 18:00,OANDA:EURGBP,0.88813,0.88836,0.88805,0.88835,696
2/8/2023 18:05,OANDA:EURGBP,0.88835,0.8884,0.88817,0.88833,498
2/8/2023 18:10,OANDA:EURGBP,0.88833,0.88843,0.88818,0.88825,433
2/8/2023 18:15,OANDA:EURGBP,0.88825,0.88847,0.88819,0.88844,557
2/8/2023 18:20,OANDA:EURGBP,0.88844,0.88884,0.88836,0.88878,698
2/8/2023 18:25,OANDA:EURGBP,0.88878,0.88897,0.88854,0.88871,588
2/8/2023 18:30,OANDA:EURGBP,0.88871,0.88898,0.88862,0.88884,784
2/8/2023 18:35,OANDA:EURGBP,0.88884,0.88892,0.88869,0.88891,564
2/8/2023 18:40,OANDA:EURGBP,0.88891,0.88942,0.88889,0.88934,593
2/8/2023 18:45,OANDA:EURGBP,0.88934,0.88942,0.88898,0.88901,582
2/8/2023 18:50,OANDA:EURGBP,0.88901,0.8892,0.88892,0.88912,563
2/8/2023 18:55,OANDA:EURGBP,0.88912,0.88913,0.88872,0.88874,417
2/8/2023 19:00,OANDA:EURGBP,0.88874,0.8889,0.88854,0.88862,610
2/8/2023 19:05,OANDA:EURGBP,0.88862,0.88864,0.88841,0.88846,450
2/8/2023 19:10,OANDA:EURGBP,0.88846,0.88906,0.88844,0.88892,566
2/8/2023 19:15,OANDA:EURGBP,0.88892,0.88894,0.8886,0.88866,473
2/8/2023 19:20,OANDA:EURGBP,0.88866,0.8887,0.8882,0.8883,568
2/8/2023 19:25,OANDA:EURGBP,0.8883,0.88838,0.88766,0.8879,458
2/8/2023 19:30,OANDA:EURGBP,0.8879,0.88839,0.88786,0.8882,417
