datetime,symbol,open,high,low,close,volume
2/8/2023 16:50,OANDA:GBPUSD,1.20854,1.20886,1.20812,1.20816,921
2/8/2023 16:55,OANDA:GBPUSD,1.20816,1.20826,1.20766,1.20822,929
2/8/2023 17:00,OANDA:GBPUSD,1.20822,1.20874,1.2081,1.2083,804
2/8/2023 17:05,OANDA:GBPUSD,1.2083,1.20855,1.208,1.20822,803
2/8/2023 17:10,OANDA:GBPUSD,1.20822,1.20826,1.20756,1.20774,678
2/8/2023 17:15,OANDA:GBPUSD,1.20774,1.20789,1.20756,1.20786,448
2/8/2023 17:20,OANDA:GBPUSD,1.20786,1.20832,1.2077,1.20776,593
2/8/2023 17:25,OANDA:GBPUSD,1.20776,1.20834,1.20772,1.20834,698
2/8/2023 17:30,OANDA:GBPUSD,1.20834,1.20839,1.20754,1.20784,817
2/8/2023 17:35,OANDA:GBPUSD,1.20784,1.20896,1.2078,1.20894,821
2/8/2023 17:40,OANDA:GBPUSD,1.20894,1.20964,1.20894,1.20916,787
2/8/2023 17:45,OANDA:GBPUSD,1.20916,1.2093,1.20838,1.20845,974
2/8/2023 17:50,OANDA:GBPUSD,1.20845,1.20905,1.20825,1.20904,875
2/8/2023 17:55,OANDA:GBPUSD,1.20904,1.20928,1.20816,1.20824,1051
2/8/2023 18:00,OANDA:GBPUSD,1.20824,1.20834,1.20693,1.20733,1579
2/8/2023 18:05,OANDA:GBPUSD,1.20733,1.20843,1.20722,1.20803,1074
2/8/2023 18:10,OANDA:GBPUSD,1.20803,1.20846,1.20764,1.2083,1053
2/8/2023 18:15,OANDA:GBPUSD,1.2083,1.20838,1.20662,1.20662,1189
2/8/2023 18:20,OANDA:GBPUSD,1.20662,1.20666,1.20604,1.20641,1293
2/8/2023 18:25,OANDA:GBPUSD,1.20641,1.20712,1.20632,1.2068,1210
2/8/2023 18:30,OANDA:GBPUSD,1.2068,1.2068,1.20583,1.2067,1386
2/8/2023 18:35,OANDA:GBPUSD,1.2067,1.20684,1.20556,1.2057,1149
2/8/2023 18:40,OANDA:GBPUSD,1.2057,1.20601,1.20548,1.20572,917
2/8/2023 18:45,OANDA:GBPUSD,1.20572,1.20654,1.20562,1.20628,1102
2/8/2023 18:50,OANDA:GBPUSD,1.20628,1.20632,1.20566,1.20584,1006
2/8/2023 18:55,OANDA:GBPUSD,1.20584,1.20645,1.20572,1.2061,908
2/8/2023 19:00,OANDA:GBPUSD,1.2061,1.20622,1.20568,1.20611,1132
2/8/2023 19:05,OANDA:GBPUSD,1.20611,1.20742,1.20601,1.20734,960
2/8/2023 19:10,OANDA:GBPUSD,1.20734,1.20736,1.20587,1.20634,896
2/8/2023 19:15,OANDA:GBPUSD,1.20634,1.20703,1.20622,1.20694,814
2/8/2023 19:20,OANDA:GBPUSD,1.20694,1.20736,1.20662,1.20705,1159
2/8/2023 19:25,OANDA:GBPUSD,1.20705,1.20828,1.20688,1.20794,938
2/8/2023 19:30,OANDA:GBPUSD,1.20794,1.20794,1.20704,1.20754,947
2/8/2023 19:35,OANDA:GBPUSD,1.20754,1.20754,1.20666,1.20716,776
2/8/2023 19:40,OANDA:GBPUSD,1.20716,1.20749,1.20684,1.20738,882
2/8/2023 19:45,OANDA:GBPUSD,1.20738,1.20858,1.20738,1.20832,873
2/8/2023 19:50,OANDA:GBPUSD,1.20832,1.20852,1.20708,1.2073,1004
2/8/2023 19:55,OANDA:GBPUSD,1.2073,1.20731,1.20656,1.20688,918
2/8/2023 20:00,OANDA:GBPUSD,1.20688,1.2069,1.20654,1.20659,759
2/8/2023 20:05,OANDA:GBPUSD,1.20659,1.20804,1.20646,1.208,862
2/8/2023 20:10,OANDA:GBPUSD,1.208,1.208,1.20731,1.20748,886
2/8/2023 20:15,OANDA:GBPUSD,1.20748,1.20818,1.20742,1.20814,971
2/8/2023 20:20,OANDA:GBPUSD,1.20814,1.20897,1.20808,1.20887,810
2/8/2023 20:25,OANDA:GBPUSD,1.20887,1.20949,1.2088,1.20913,636
2/8/2023 20:30,OANDA:GBPUSD,1.20913,1.2094,1.20854,1.20865,666
2/8/2023 20:35,OANDA:GBPUSD,1.20865,1.20866,1.20843,1.20864,587
2/8/2023 20:40,OANDA:GBPUSD,1.20864,1.2093,1.20862,1.20912,746
2/8/2023 20:45,OANDA:GBPUSD,1.20912,1.20976,1.20904,1.20936,544
2/8/2023 20:50,OANDA:GBPUSD,1.20936,1.20966,1.20928,1.20956,606
2/8/2023 20:55,OANDA:GBPUSD,1.20956,1.20956,1.20904,1.20914,623
2/8/2023 21:00,OANDA:GBPUSD,1.20914,1.20946,1.20884,1.20887,590
2/8/2023 21:05,OANDA:GBPUSD,1.20887,1.20887,1.20818,1.20822,679
2/8/2023 21:10,OANDA:GBPUSD,1.20822,1.20834,1.20794,1.20832,687
