datetime,symbol,open,high,low,close,volume
2/8/2023 16:50,OANDA:EURUSD,1.07312,1.07331,1.07282,1.07301,683
2/8/2023 16:55,OANDA:EURUSD,1.07301,1.07312,1.07258,1.07308,655
2/8/2023 17:00,OANDA:EURUSD,1.07308,1.07331,1.07279,1.07294,592
2/8/2023 17:05,OANDA:EURUSD,1.07294,1.07318,1.0727,1.07302,479
2/8/2023 17:10,OANDA:EURUSD,1.07302,1.07316,1.07264,1.07284,517
2/8/2023 17:15,OANDA:EURUSD,1.07284,1.07328,1.07284,1.07328,457
2/8/2023 17:20,OANDA:EURUSD,1.07328,1.07336,1.07279,1.07284,428
2/8/2023 17:25,OANDA:EURUSD,1.07284,1.07326,1.07284,1.07316,514
2/8/2023 17:30,OANDA:EURUSD,1.07316,1.07322,1.07264,1.07295,669
2/8/2023 17:35,OANDA:EURUSD,1.07295,1.07377,1.07295,1.07376,561
2/8/2023 17:40,OANDA:EURUSD,1.07376,1.07434,1.07376,1.07415,708
2/8/2023 17:45,OANDA:EURUSD,1.07415,1.07421,1.07348,1.07354,701
2/8/2023 17:50,OANDA:EURUSD,1.07354,1.07384,1.07336,1.07384,737
2/8/2023 17:55,OANDA:EURUSD,1.07384,1.07402,1.07302,1.07308,889
2/8/2023 18:00,OANDA:EURUSD,1.07308,1.07314,1.07216,1.07254,1259
2/8/2023 18:05,OANDA:EURUSD,1.07254,1.0733,1.07248,1.07314,945
2/8/2023 18:10,OANDA:EURUSD,1.07314,1.07339,1.07284,1.07329,782
2/8/2023 18:15,OANDA:EURUSD,1.07329,1.07334,1.07203,1.07203,833
2/8/2023 18:20,OANDA:EURUSD,1.07203,1.0723,1.07178,1.07224,1065
2/8/2023 18:25,OANDA:EURUSD,1.07224,1.07284,1.07202,1.0725,897
2/8/2023 18:30,OANDA:EURUSD,1.0725,1.07258,1.0717,1.07254,1270
2/8/2023 18:35,OANDA:EURUSD,1.07254,1.07266,1.07162,1.07173,1007
2/8/2023 18:40,OANDA:EURUSD,1.07173,1.07248,1.0717,1.0723,802
2/8/2023 18:45,OANDA:EURUSD,1.0723,1.07276,1.07218,1.07238,1011
2/8/2023 18:50,OANDA:EURUSD,1.07238,1.07242,1.07206,1.07214,803
2/8/2023 18:55,OANDA:EURUSD,1.07214,1.0725,1.07176,1.0719,788
2/8/2023 19:00,OANDA:EURUSD,1.0719,1.0719,1.07136,1.07176,989
2/8/2023 19:05,OANDA:EURUSD,1.07176,1.07272,1.0716,1.07266,709
2/8/2023 19:10,OANDA:EURUSD,1.07266,1.07268,1.07204,1.07232,760
2/8/2023 19:15,OANDA:EURUSD,1.07232,1.07262,1.07202,1.07255,766
2/8/2023 19:20,OANDA:EURUSD,1.07255,1.0728,1.07204,1.07223,1004
2/8/2023 19:25,OANDA:EURUSD,1.07223,1.07262,1.07212,1.07253,624
